id,input,expected_output,actual_output,num_chunks,chunk_sources,chunk_distances,retrieval_context_len,metric,score,threshold,passed,reason
q01,What was stolen from the Larco Museum in Lima?,A golden figurine,"A golden figurine said to be cursed, and an Incan gold figurine (presumably referring to the same item).",3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.3582, 0.432, 0.4659]",1036,AnswerRelevancyMetric,1.0,0.5,True,"The score is 1.00 because the actual output directly answers the question asked in the input, with no irrelevant statements present."
q01,What was stolen from the Larco Museum in Lima?,A golden figurine,"A golden figurine said to be cursed, and an Incan gold figurine (presumably referring to the same item).",3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.3582, 0.432, 0.4659]",1036,ToxicityMetric,0.0,0.5,True,The score is 0.00 because there are no reasons to suggest toxicity.
q01,What was stolen from the Larco Museum in Lima?,A golden figurine,"A golden figurine said to be cursed, and an Incan gold figurine (presumably referring to the same item).",3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.3582, 0.432, 0.4659]",1036,FaithfulnessMetric,0.5,0.5,True,"The score is 0.50 because the actual output contains a contradiction where it incorrectly assumes a curse exists, when in fact the retrieval context only mentions the curator's belief."
q01,What was stolen from the Larco Museum in Lima?,A golden figurine,"A golden figurine said to be cursed, and an Incan gold figurine (presumably referring to the same item).",3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.3582, 0.432, 0.4659]",1036,ContextualPrecisionMetric,1.0,0.5,True,"The score is 1.00 because all relevant nodes are ranked higher than irrelevant ones, with the first two nodes clearly addressing the question and verifying the theft at the Larco Museum in Lima, while the third node is about who investigated it, not what was stolen."
q01,What was stolen from the Larco Museum in Lima?,A golden figurine,"A golden figurine said to be cursed, and an Incan gold figurine (presumably referring to the same item).",3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.3582, 0.432, 0.4659]",1036,ContextualRecallMetric,0.6666666666666666,0.5,True,"The score is 0.67 because the expected output closely matches the description of a golden figurine in the 1st and 2nd nodes in retrieval context, but there's no contradictory information to suggest otherwise."
q02,Who stole the golden figurine from the Larco Museum?,A local street magician who had trained a capuchin monkey to retrieve shiny objects,A trained capuchin monkey owned by a local street magician stole the golden figurine.,3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.2734, 0.3918, 0.4463]",1036,AnswerRelevancyMetric,0.6666666666666666,0.5,True,"The score is 0.67 because it was unable to directly answer the question about the theft of the golden figurine, instead making a statement that does not address this specific inquiry."
q02,Who stole the golden figurine from the Larco Museum?,A local street magician who had trained a capuchin monkey to retrieve shiny objects,A trained capuchin monkey owned by a local street magician stole the golden figurine.,3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.2734, 0.3918, 0.4463]",1036,ToxicityMetric,0,0.5,True,The score is 0.00 because there are no reasons to suggest toxicity.
q02,Who stole the golden figurine from the Larco Museum?,A local street magician who had trained a capuchin monkey to retrieve shiny objects,A trained capuchin monkey owned by a local street magician stole the golden figurine.,3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.2734, 0.3918, 0.4463]",1036,FaithfulnessMetric,0.5,0.5,True,"The score is 0.50 because the actual output contradicts the retrieval context by not mentioning the monkey's owner as a local street magician or its training to retrieve shiny objects, indicating some but not complete faithfulness."
q02,Who stole the golden figurine from the Larco Museum?,A local street magician who had trained a capuchin monkey to retrieve shiny objects,A trained capuchin monkey owned by a local street magician stole the golden figurine.,3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.2734, 0.3918, 0.4463]",1036,ContextualPrecisionMetric,0.8333333333333333,0.5,True,"The score is 0.83 because the first relevant node ('A local street magician who had trained a capuchin monkey to retrieve shiny objects') ranks higher than the irrelevant nodes, specifically the second node's reason being that 'The text does not mention anything about the golden figurine being cursed' and it being ranked lower than the third relevant node ('It provides evidence that a capuchin monkey was involved in the theft')."
q02,Who stole the golden figurine from the Larco Museum?,A local street magician who had trained a capuchin monkey to retrieve shiny objects,A trained capuchin monkey owned by a local street magician stole the golden figurine.,3,"['bawn_lima.txt', 'bawn_lima.txt', 'bawn_lima.txt']","[0.2734, 0.3918, 0.4463]",1036,ContextualRecallMetric,0.3333333333333333,0.5,False,"The score is 0.33 because the expected output mentions a trained capuchin monkey, which aligns with node 2 in retrieval context ('He followed the trail to the roof, where a trained capuchin monkey was waiting for its owner, a local street magician.'), but fails to attribute the local street magician correctly, as indicated by two instances of 'No mention of a local street magician' in the unsupportive reasons."
